COUNTY,pcp,cardio
26111,223,12
26113,47,NA
26115,123,3
26117,46,2
26119,10,NA
26121,317,11
26123,65,NA
26125,1995,178
26127,18,NA
26129,28,3
26131,1,NA
26133,11,NA
26135,20,NA
26137,37,NA
26139,399,12
26141,54,3
26143,20,NA
26145,437,31
26147,149,7
26149,44,1
26151,35,1
26153,5,NA
26155,106,5
26157,86,1
26159,120,3
26161,1064,137
26163,1586,185
26165,49,NA
27001,18,NA
27003,564,28
27005,78,NA
27007,80,3
27009,298,25
27011,15,NA
27013,248,6
27015,56,NA
27017,50,NA
27019,137,NA
27021,128,4
27023,20,NA
27025,102,NA
27027,32,NA
27029,29,NA
27031,7,NA
27033,21,NA
27035,127,5
27037,508,1
27039,5,NA
27041,71,NA
27043,7,NA
27045,14,NA
27047,102,2
27049,118,NA
27051,32,1
27053,2403,167
27055,10,NA
27057,89,3
27059,82,NA
27061,130,1
27063,41,NA
27065,29,NA
27067,85,NA
27069,2,NA
27071,8,NA
27073,32,NA
27075,16,NA
27077,2,NA
27079,53,NA
27081,18,NA
27083,38,NA
27085,50,NA
27087,20,NA
27089,19,NA
27091,49,NA
27093,46,NA
27095,54,NA
27097,61,NA
27099,50,1
27101,11,NA
27103,256,5
27105,25,NA
27107,14,NA
27109,1020,227
27111,123,1
27113,15,NA
27115,41,NA
27117,3,NA
27119,49,NA
27121,78,NA
27123,1275,82
27125,17,NA
27127,48,NA
27129,45,NA
27131,99,NA
27133,13,NA
27135,18,NA
27137,528,36
27139,202,NA
27141,108,NA
27143,24,NA
27145,342,25
27147,100,1
27149,20,NA
27151,6,NA
27153,40,NA
27155,7,NA
27157,23,NA
27159,35,NA
27161,7,NA
27163,521,NA
27165,12,NA
27167,29,NA
27169,53,NA
27171,174,NA
27173,20,NA
28001,23,2
28003,67,6
28005,26,NA
28007,34,NA
28009,37,NA
28011,79,4
28013,35,NA
28015,29,NA
28017,24,NA
28019,36,NA
28021,7,NA
28023,154,12
28025,71,NA
28027,14,NA
28029,28,NA
28031,265,19
28033,174,5
28035,275,19
28037,52,NA
28039,21,NA
28041,28,NA
28043,48,1
28045,80,NA
28047,313,15
28049,642,73
28051,14,NA
28053,16,NA
28055,14,1
28057,110,NA
28059,204,14
28061,15,NA
28063,29,2
28065,41,NA
28067,247,18
28069,44,NA
28071,134,4
28073,244,19
28075,156,14
28077,28,NA
28079,74,NA
28081,305,16
28083,28,NA
28085,76,NA
28087,126,7
28089,141,3
28091,46,NA
28093,76,2
28095,56,NA
28097,37,1
28099,59,NA
28101,22,NA
28103,7,NA
28105,61,NA
28107,133,4
28109,47,NA
28111,54,NA
28113,77,3
28115,403,20
28117,53,NA
28119,27,NA
28121,209,5
28123,29,NA
28125,5,NA
28127,35,NA
28129,67,NA
28131,27,NA
28133,50,2
28135,38,1
28137,61,NA
28139,55,NA
28141,24,NA
28143,3,NA
28145,97,NA
28147,70,3
28149,42,1
28151,74,4
28153,23,NA
28155,23,NA
28157,5,NA
28159,72,NA
28161,13,NA
28163,21,NA
29001,45,1
29003,108,10
29005,4,NA
29007,19,1
29009,53,NA
29011,4,NA
29013,6,1
29015,32,NA
29017,1,NA
29019,361,43
29021,122,10
29023,74,5
29025,14,NA
29027,240,19
29029,96,4
29031,212,18
29033,10,NA
29035,76,5
29037,66,1
29039,7,NA
29041,14,NA
29043,81,NA
29045,6,NA
29047,364,28
29049,29,NA
29051,114,7
29053,47,1
29055,39,NA
29057,10,NA
29059,39,NA
29061,24,NA
29063,12,NA
29065,65,6
29067,50,5
29069,24,NA
29071,102,8
29073,14,NA
29075,7,NA
29077,680,30
29079,7,NA
29081,8,NA
29083,19,NA
29085,9,NA
29087,6,NA
29089,9,NA
29091,54,5
29093,1,NA
29095,948,98
29097,186,20
29099,202,12
29101,25,NA
29103,1,NA
29105,53,NA
29107,16,NA
29109,53,NA
29111,5,NA
29113,37,NA
29115,13,NA
29117,13,NA
29119,15,1
29121,21,NA
29123,64,4
29125,61,6
29127,48,7
29129,1,NA
29131,49,4
29133,42,NA
29135,21,NA
29137,39,3
29139,4,NA
29141,24,NA
29143,46,NA
29145,161,20
29147,11,NA
29149,40,5
29151,38,1
29153,13,NA
29155,32,NA
29157,16,NA
29159,70,1
29161,69,6
29163,14,NA
29165,168,2
29167,35,4
29169,28,NA
29171,5,NA
29173,50,7
29175,20,2
29177,25,NA
29179,16,NA
29181,3,NA
29183,315,13
29185,10,NA
29186,137,13
29187,133,12
29189,1213,163
29195,31,NA
29197,3,NA
29199,5,NA
29201,46,NA
29203,16,NA
29205,4,NA
29207,44,NA
29209,103,5
29211,9,NA
29213,82,5
29215,42,NA
29217,17,NA
29219,29,NA
29221,57,NA
29223,13,NA
29225,16,NA
29227,1,NA
29229,20,NA
29510,790,119
30001,8,NA
30003,268,24
30005,19,NA
30007,8,NA
30009,16,NA
30011,2,NA
30013,149,9
30015,20,NA
30017,17,NA
30019,9,NA
30021,6,NA
30023,63,1
30025,3,NA
30027,14,NA
30029,184,9
30031,184,5
30033,1,NA
30035,9,NA
30037,1,NA
30039,7,NA
30041,15,NA
30043,137,5
30047,41,NA
30049,113,6
30051,1,NA
30053,17,NA
30055,9,NA
30057,40,NA
30059,3,NA
30061,6,NA
30063,243,16
30065,1,NA
30067,146,5
30071,4,NA
30073,6,NA
30075,2,NA
30077,10,NA
30079,6,NA
30081,34,1
30083,17,NA
30085,10,NA
30087,9,NA
30089,7,NA
30091,2,NA
30093,53,1
30095,12,NA
30097,2,NA
30099,14,NA
30101,14,NA
30103,2,NA
30105,14,NA
30107,3,NA
30111,333,25
31001,61,1
31003,25,NA
31005,1,NA
31007,5,NA
31009,1,NA
31011,19,NA
31013,12,NA
31015,2,NA
31017,9,NA
31019,100,6
31021,2,NA
31023,42,1
31025,9,NA
31027,7,NA
31029,4,NA
31031,5,NA
31033,14,NA
31035,71,1
31037,39,1
31039,18,NA
31041,41,NA
31043,16,NA
31045,12,NA
31047,30,NA
31051,9,NA
31053,55,2
31055,1145,90
31057,5,NA
31059,15,NA
31061,4,NA
31063,21,NA
31065,6,NA
31067,10,NA
31069,1,NA
31071,13,NA
31073,24,NA
31079,145,5
31081,15,NA
31083,18,NA
31087,15,NA
31089,16,NA
31091,2,NA
31093,93,4
31095,23,NA
31097,9,NA
31099,103,5
31101,9,NA
31105,5,NA
31107,30,NA
31109,548,34
31111,81,2
31113,1,NA
31115,1,NA
31117,71,2
31119,92,8
31121,45,1
31123,19,NA
31125,5,NA
31127,7,NA
31129,7,NA
31131,17,NA
31133,1,NA
31135,23,NA
31137,79,1
31139,106,8
31141,42,1
31143,40,1
31145,21,NA
31147,6,NA
31149,6,NA
31151,15,NA
31153,121,2
31155,48,2
31157,56,1
31159,22,NA
31161,25,NA
31163,2,NA
31165,63,1
31167,87,8
31169,7,NA
31173,15,NA
31175,13,NA
31177,92,2
31179,103,8
31181,5,NA
31185,25,NA
32001,16,NA
32003,1848,152
32005,57,NA
32007,24,2
32011,2,NA
32015,1,NA
32017,5,NA
32019,39,NA
32021,1,NA
32023,60,NA
32027,1,NA
32029,81,8
32031,665,48
32033,1,NA
32510,116,8
35001,1151,57
35003,4,NA
35005,61,4
35006,23,NA
35007,8,NA
35009,41,2
35011,4,NA
35013,229,13
35015,49,2
35017,39,2
35019,9,NA
35021,2,NA
35023,4,NA
35025,42,2
35027,15,NA
35028,29,2
35029,11,NA
35031,82,1
35033,2,NA
35035,70,2
35037,11,NA
35039,36,NA
35041,40,2
35043,140,2
35045,139,8
35047,21,NA
35049,215,5
35051,9,NA
35053,21,3
35055,32,1
35057,24,NA
35061,52,3
36001,811,86
36003,75,2
36005,965,133
36007,403,21
36009,108,6
36011,196,9
36013,148,4
36015,185,13
36017,51,1
36019,113,10
36021,62,6
36023,64,3
36025,104,2
36027,300,40
36029,1807,82
36031,60,1
36033,56,1
36035,106,2
36037,75,1
36039,44,NA
36041,9,NA
36043,368,18
36045,142,3
36047,1183,207
36049,145,3
36051,83,2
36053,107,2
36055,1557,111
36057,66,2
36059,1772,356
36061,2273,644
36063,157,3
36065,431,20
36067,1017,68
36069,250,6
36071,392,36
36073,32,1
36075,82,2
36077,196,13
36079,123,16
36081,1171,178
36083,183,11
36085,288,47
36087,179,41
36089,140,6
36091,351,13
36093,315,25
36095,29,1
36097,72,2
36099,75,3
36101,129,5
36103,1581,223
36105,178,10
36107,164,4
36109,180,9
36111,232,13
36113,177,12
36115,98,11
36117,142,2
36119,690,144
36121,55,1
36123,129,4
37001,164,9
37003,198,5
37005,8,NA
37007,9,NA
37009,26,NA
37011,141,7
37013,365,39
37015,35,NA
37017,49,NA
37019,131,3
37021,929,53
37023,380,22
37025,764,27
37027,296,13
37029,52,4
37031,107,6
37033,79,2
37035,341,19
37037,419,12
37039,23,NA
37041,16,NA
37043,51,1
37045,159,5
37047,60,1
37049,188,24
37051,406,29
37053,11,NA
37055,35,NA
37057,426,26
37059,135,2
37061,52,NA
37063,960,91
37065,458,43
37067,1100,76
37069,97,2
37071,339,20
37073,4,NA
37075,14,NA
37077,116,2
37079,61,5
37081,983,70
37083,45,2
37085,275,10
37087,158,4
37089,270,8
37091,27,NA
37093,296,24
37095,13,NA
37097,346,15
37099,110,3
37101,566,39
37103,158,24
37105,83,8
37107,63,5
37109,113,3
37111,170,7
37113,87,3
37115,50,NA
37117,52,NA
37119,2043,111
37121,39,NA
37123,22,1
37125,286,27
37127,154,4
37129,514,35
37131,10,NA
37133,171,6
37135,624,52
37137,38,NA
37139,49,3
37141,314,34
37143,19,NA
37145,56,3
37147,434,39
37149,150,6
37151,360,17
37153,42,1
37155,196,8
37157,81,4
37159,273,7
37161,194,8
37163,99,2
37165,72,1
37167,75,3
37169,127,5
37171,107,9
37173,36,NA
37175,49,2
37177,3,NA
37179,297,20
37181,73,4
37183,1840,96
37185,2,NA
37187,7,NA
37189,135,10
37191,149,3
37193,198,9
37195,82,4
37197,35,NA
37199,42,NA
38001,4,NA
38003,17,NA
38005,17,NA
38007,2,NA
38009,5,NA
38011,2,NA
38013,9,NA
38015,253,15
38017,411,21
38019,1,NA
38021,15,NA
38023,2,NA
38025,35,NA
38027,7,NA
38029,30,NA
38031,7,NA
38033,2,NA
38035,159,9
38037,3,NA
38039,5,NA
38043,1,NA
38045,10,NA
38047,5,NA
38049,9,NA
38051,9,NA
38053,16,NA
38055,10,NA
38057,18,NA
38059,18,NA
38061,21,NA
38063,3,NA
38065,18,NA
38067,5,NA
38069,15,NA
38071,22,NA
38073,10,NA
38075,3,NA
38077,19,NA
38079,15,NA
38081,19,NA
38083,8,NA
38085,7,NA
38087,2,NA
38089,27,NA
38091,6,NA
38093,51,NA
38095,8,NA
38097,7,NA
38099,12,NA
38101,122,4
38103,13,NA
38105,32,1
39001,20,NA
39003,320,21
39005,181,15
39007,72,NA
39009,80,2
39011,182,13
39013,74,3
39015,67,1
39017,380,34
39019,16,1
39021,75,2
39023,193,12
39025,212,11
39027,86,8
39029,145,1
39031,52,1
39033,130,10
39035,2891,262
39037,52,1
39039,103,4
39041,569,24
39043,155,9
39045,299,17
39047,41,NA
39049,2588,180
39051,53,NA
39053,69,2
39055,301,15
39057,429,16
39059,49,3
39061,1347,140
39063,136,4
39065,21,NA
39067,50,4
39069,86,NA
39071,63,NA
39073,129,9
39075,27,NA
39077,79,3
39079,158,11
39081,93,6
39083,68,4
39085,314,16
39087,47,NA
39089,332,13
39091,75,1
39093,440,24
39095,851,68
39097,206,8
39099,481,27
39101,118,8
39103,389,8
39105,10,NA
39107,74,2
39109,185,4
39111,9,NA
39113,1177,79
39115,22,NA
39117,157,18
39119,178,9
39121,16,NA
39123,57,NA
39125,61,NA
39127,203,9
39129,92,4
39131,172,11
39133,296,10
39135,74,NA
39137,57,NA
39139,207,18
39141,169,11
39143,79,NA
39145,199,6
39147,78,NA
39149,100,3
39151,494,36
39153,1080,57
39155,245,15
39157,70,2
39159,330,20
39161,42,NA
39163,14,NA
39165,446,27
39167,152,7
39169,182,5
39171,91,4
39173,230,7
39175,39,2
40001,23,NA
40003,9,NA
40005,20,NA
40009,24,1
4001,134,NA
40011,26,NA
40013,63,3
40015,17,NA
40017,187,NA
40019,76,3
40021,90,2
40023,28,NA
40027,610,54
40029,13,NA
4003,93,4
40031,105,9
40033,2,NA
40035,50,NA
40037,157,1
40039,49,1
